Whether I choose him or not for "State"- Rex Tillerson  the Chairman &amp; CEO of ExxonMobil  is a world class player and dealmaker. Stay tuned!	12399
I spent Friday campaigning with John Kennedy  of the Great State of Louisiana  for the U.S.Senate. The election is over - JOHN WON!	9915
Being at the Army - Navy Game was fantastic. There is nothing like the spirit in that stadium. A wonderful experience  and congrats to Army!	13185
I will be interviewed today on Fox News Sunday with Chris Wallace at 10:00 (Eastern) Network. ENJOY!	5662
October 2015 - thanks Chris Wallace @FoxNewsSunday! https://t.co/VEsgPcWq7z	7246
A very interesting read. Unfortunately  so much is true. https://t.co/ER2BoM765M	12457
Reports by @CNN that I will be working on The Apprentice during my Presidency  even part time  are ridiculous &amp; untrue - FAKE NEWS!	25442
As a show of support for our Armed Forces  I will be going to The Army-Navy Game today. Looking forward to it  should be fun!	18812
I have NOTHING to do with The Apprentice except for fact that I conceived it with Mark B &amp; have a big stake in it. Will devote ZERO TIME!	11355
.@RudyGiuliani  one of the finest people I know and a former GREAT Mayor of N.Y.C.  just took himself out of consideration for "State".	7225
Join me live in Louisiana! Tomorrow  we need you to go to the polls &amp; send John Kennedy to the U.S. Senate. https://t.co/O0jtz0BKeL	5369
THANK YOU IOWA! #ThankYouTour2016 https://t.co/v6EB2OQMeO	9431
Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!	2722
INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS "A COMPLETE FRAUD!"  @OANN	14733
mention crime infested) rather than falsely complaining about the election results. All talk  talk  talk - no action or results. Sad!	13139
Congressman John Lewis should spend more time on fixing and helping his district  which is in horrible shape and falling apart (not to......	16576
A beautiful funeral today for a real NYC hero  Detective Steven McDonald. Our law enforcement community has my complete and total support.	19549
The "Unaffordable" Care Act will soon be history!	27700
have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!	12629
What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....	11908
released by "Intelligence" even knowing there is no proof  and never will be. My people will have a full report on hacking within 90 days!	11226
Totally made up facts by sleazebag political operatives  both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...	11734
It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....	16527
All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts  not mine!	15889
Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!	18948
.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!	34605
Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine	21053
James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up  phony facts.Too bad!	17020
We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on	28443
Intelligence agencies should never have allowed this fake news to "leak" into the public. One last shot at me.Are we living in Nazi Germany?	31600
I win an election easily  a great "movement" is verified  and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!	28563
Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS  NO LOANS  NO NOTHING!	23300
Russia just said the unverified report paid for by political opponents is "A COMPLETE AND TOTAL FABRICATION  UTTER NONSENSE." Very unfair!	17659
'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews  https://t.co/d6daCFZHNh	15200
RT @MichaelCohen212: I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D	10988
FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!	29955
'Trump Helps Lift Small Business Confidence to 12-Yr. High' https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx	10241
'Small business optimism soars after Trump election' https://t.co/WjBaTp824U	11700
'U.S. Small-Business Optimism Index Surges by Most Since 1980' https://t.co/X22x1BttdG	11162
An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf	24544
Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!	23696
It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants  adding 2000 jobs. This after...	23656
"groveling" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!	16399
Hillary flunky who lost big. For the 100th time  I never "mocked" a disabled reporter (would never do that) but simply showed him.......	21836
Meryl Streep  one of the most over-rated actresses in Hollywood  doesn't know me but attacked last night at the Golden Globes. She is a.....	38575
Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!	7283
Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!	19441
Before I  or anyone  saw the classified and/or highly confidential hacking intelligence report  it was leaked out to @NBCNews. So serious!	20882
Kellyanne Conway went to @MeetThePress this morning for an interview with @chucktodd. Dishonest media cut out 9 of her 10 minutes. Terrible!	18231
"@KellyannePolls: Welcome to President and Mrs. Bush.   https://t.co/I1K4nj1gVu" Very nice!	5416
I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain  a longtime U.S. ally  is very special!	17641
Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter &amp; star	12289
